subtype_code,parent_code,name,description
TC.1,TC,Reference period length,"Different recall windows (e.g. 7-day vs. 12-month)."
TC.2,TC,Temporal framing,"Point-in-time vs. habitual vs. retrospective framing (e.g. last week vs. usually)."
TC.3,TC,Calendar alignment,"Fixed calendar periods vs. rolling reference periods (e.g. calendar year 2025 vs. past 12 months)."
CC.1,CC,Concept definition,"Different meaning of core term (e.g. employment including or excluding unpaid family work)."
CC.2,CC,Operationalization,"Different behavioral indicators for nominally the same concept (e.g. 12-item vs. single-question food insecurity measurement)."
CC.3,CC,Boundary conditions,"Different thresholds or cutoffs (e.g. full-time defined as 35+ vs. 40+ hours)."
CC.4,CC,Scope inclusions,"Different components counted (e.g. income including or excluding capital gains)."
PC.1,PC,Universe definition,"Target population differs (e.g. civilian noninstitutional vs. all residents)."
PC.2,PC,Frame exclusions,"Different sampling frame exclusions (e.g. group quarters, territories)."
PC.3,PC,Age bounds,"Different age eligibility (e.g. 15+ vs. 16+ vs. 18+)."
PC.4,PC,Geographic scope,"Different geographic coverage (e.g. 50 states vs. 50 states plus territories)."
RS.1,RS,Scale type,"Fundamentally different response formats (e.g. binary vs. 5-point Likert)."
RS.2,RS,Category structure,"Different numbers or boundaries of categories within the same scale type."
RS.3,RS,Anchoring/labels,"Different verbal anchors or category labels."
RS.4,RS,Numeric vs. verbal,"Numeric scales vs. labeled categories (e.g. 0-10 slider vs. frequency labels)."
MC.1,MC,Interview mode,"Different data collection modes (e.g. CATI vs. web self-administered)."
MC.2,MC,Question routing,"Different skip patterns affect who answers and in what context."
MC.3,MC,Contextual priming,"Preceding questions affect interpretation."
MC.4,MC,Proxy response,"Different rules for proxy vs. self-report."
PM.1,PM,Coding schemes,"Different classification systems (e.g. SOC 2010 vs. SOC 2018)."
PM.2,PM,Derived variables,"Different construction algorithms for composite measures."
PM.3,PM,Documentation gaps,"Insufficient metadata to assess comparability."
