Question,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),Identity Theft Supplement (ITS),Supplemental Victimization Survey (SVS),National Survey of Children’s Health (NSCH),"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","National Survey of Children's Health Topical Questionaire (Chilren, 6-11)","National Survey of Children's Health Topical Questionaire (Children, 12-17)",National Sample Survey of Registered Nurses (NSSRN),National Teacher and Principal Survey (NTPS) School Questionnaire,National Teacher and Principal Survey (NTPS) Private School Questionnaire,National Teacher and Principal Survey (NTPS) Principal Questionnaire,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Teacher Follow-up Survey (TFS) Former Teacher Survey,Teacher Follow-Up Survey (TFS) Current Teacher Survey,Principal Follow-up Survey (PFS),Principal Follow-Up Survey School Head/Principal Status Form,School Pulse Panel (SPP),Private School Survey (PSS),National Ambulatory Medical Care Survey (NAMCS),National Health Interview Survey (NHIS),"National Training, Education, and Workforce Survey (NTEWS)",National Survey of College Graduates (NSCG),American Time Use Survey (ATUS),Consumer Expenditure Survey (CE),American Community Survey (ACS),Survey of Income and Program Participation (SIPP),Household Trends and Outlook Pulse Survey (HTOPS),Current Population Survey (CPS),School Survey on Crime and Safety (SSOCS),Census Military Panel (CMP),American Housing Survey (AHS),Survey of Market Absorption (SOMA),Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,FoodAPS food Log,Survey of State Government Finances Finances of Insurance Trust Systems,Report of Building or Zoning Permits issued for new privately-ownd housing units,Survey of Residential Building or Zoning Permit Systems,Business and Professional Classifcation Report,Business Enterprise Research and Development Survey,Medical Expenditure Panel Survey Insurance Component
At any time during this school year did you attend a public or private school in person?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survey of Public Pension Plans,,,,,
At any time during this school year did you receive any online schooling or virtual learning provided by a public or private school?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At any time during this school year did you receive homeschooling instead of being enrolled in a public or private school?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At any time during this school year did you attend a homeschool cooperative, or co-op, in person?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you receive [online schooling or virtual learning/homeschooling instead of being enrolled in a public or private school/online schooling or virtual learning or homeschooling instead of being enrolled in a public or private school] because of the Coronavirus pandemic?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For this next question, I’m going to read a list of 7 possible reasons that some families decided to homeschool rather than enroll in public or private school. You can say yes to more than one reason but please choose ones that best fit the reason or reasons your family decided to homeschool. Because of your experiences with bullying? Because of concerns about the school environment, such as safety, drugs, or negative peer pressure? Because you or your parents were not happy with the quality of the education you were receiving? Because of religious reasons? Because of a physical, mental, or developmental condition? Because of an illness that prevents you from attending school? Because of your county's decision to close the schools? Because of a different reason? What was the different reason?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many different schools have you attended this school year?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During the time you were homeschooled this school year, what grade would you have been enrolled in if you were in a public or private school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What grade are you in?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what month did your current school year begin?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
