question_id,question_text,embedding_index
1,At any time during this school year did you attend a public or private school in person?,0
2,At any time during this school year did you receive any online schooling or virtual learning provided by a public or private school?,1
3,At any time during this school year did you receive homeschooling instead of being enrolled in a public or private school?,2
4,"At any time during this school year did you attend a homeschool cooperative, or co-op, in person?",3
5,Did you receive [online schooling or virtual learning/homeschooling instead of being enrolled in a public or private school/online schooling or virtual learning or homeschooling instead of being enrolled in a public or private school] because of the Coronavirus pandemic?,4
6,"For this next question, I’m going to read a list of 7 possible reasons that some families decided to homeschool rather than enroll in public or private school. You can say yes to more than one reason but please choose ones that best fit the reason or reasons your family decided to homeschool. Because of your experiences with bullying? Because of concerns about the school environment, such as safety, drugs, or negative peer pressure? Because you or your parents were not happy with the quality of the education you were receiving? Because of religious reasons? Because of a physical, mental, or developmental condition? Because of an illness that prevents you from attending school? Because of your county's decision to close the schools? Because of a different reason? What was the different reason?",5
7,How many different schools have you attended this school year?,6
8,"During the time you were homeschooled this school year, what grade would you have been enrolled in if you were in a public or private school?",7
9,What grade are you in?,8
10,In what month did your current school year begin?,9
11,Specify the other month that school year began,10
12,In what state is your school located?,11
13,In what county is your school located?,12
14,In what city is your school located?,13
15,What is the complete name of your school?,14
16,Is your school public or private?,15
17,Is this the regular school that most of the students in your neighborhood attend?,16
18,Is your school affiliated with a religion?,17
19,What is the lowest grade taught in your school?,18
20,What is the highest grade taught in your school?,19
21,"When you attend school in person, how do you get to school most of the time this school year?",20
22,"When you attend school in person, how do you get home from school most of the time this school year?",21
23,"During this school year, have you participated in any of the following activities sponsored by your school: Spirit groups, for example, Cheerleading, Dance Team, or Pep Club? Athletic teams at school? Performing arts, for example Band, Choir, Orhcestra, or Drama? Academic clubs, for example, Debate Team, honor Society, Spanish Club, Math Club, or Computer Club? Class council or Student government, also known as SGA? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, or Recycling Club? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, Key Club, or Interact? Do not include community service hours required for graduation. Other School clubs or schoool activities?",22
24,What are the other school clubs or school activities you participated in?,23
25,"Does your school have: Security guards or assigned police officers? Other adults supervisiing the hallway, such as teachers, administrators, or volunteers? Metal detectors, including wands? Locked entrance or exit doors during the day? A requirement that visitors sign in AND wear visitor badges or stickers? Locker checks? A requirement that students wear badges or picture identification? One or more security cameras to monitor the school?",24
26,"Does your school have a code of student conduct, that is, a set of written rules or guidelines that the school provides to you?",25
27,"If you hear about a threat to school or student safety, do you have a way to report it without having to give your name? Probe: Do you have a way to report a threat, such as an anonymous drop box or hotline?",26
28,"In your classes, how often are you distracted from doing your schoolwork because other students are misbehaving, for example, talking or fighting?",27
29,"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? The school rules are fair. The punishment for breaking school rules is the same no matter who you are. The School rules are strictly enforced. If a school rule is broken, students know what kind of punishment will follow. Teachers treat students with respect.",28
30,"Thinking about the teachers and staff at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a TEACHER or other ADULT at school who… Really cares about you. Listens to you when you have something to say. tells you when you do a good job. ",29
31,"Thinking about the students at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a STUDENT at school who… Really cares about you. Believes that you will be a success.",30
32,"Thinking about the neighborhood where YOU LIVE, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a lot of crime in the neighborhood where YOU LIVE.",31
33,"Thinking about the neighborhood where YOUR SCHOOL is located, would you strongly agree, agree, disagree, or strongly disagree with the following...? There is a lot of crime in the neighborhood where YOU go to SCHOOL.",32
34,"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? You feel safe in your school.",33
35,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were attending virtual school?",34
36,"Is it possible for students to get any of the following while at school… Alcoholic beverages? Marijuana, also known as pot or weed? Heroin or prescription painkillers illegally obtained without a prescription, such as Codeine, Percocet, or fentanyl? These are also known as opoids. Other prescription drugs illegally obtained without a prescription, such as Xanax, Ritalin, or Adderall? Other illegal drugs, such as cocaine, uppers, or crystal meth?",35
37,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were at school [IF E_ATTENDSCHOOL_VIRTUAL = “Yes” FILL: or during virtual classes]?",36
38,"During this school year, have you been in one or more physical fights at school?",37
39,"During this school year, how many times have you been in a physical fight at school?",38
40,"Now I have some questions about what students do during school that make you feel bad or are hurtful to you. These could occur in person or using technologies, such as a phone, the Internet, or social media. We often refer to this as being bullied. During this school year, has any student bullied you? That is, has another student... Made fun of you, called you names, or insulted you, in a hurtful way? Spread rumors about you or tried to make others dislike you? Purposely shared your private information, photos, or videos in a hurtful way? Threatened you with harm? Pushed you, shoved you, tripped you, or spit on you? Tried to make you do things you did want to do, for example, give them money or other things? Excluded you from activities, social media, or other communications to hurt you? Destroyed your property on purpose? ",39
41,"During this school year, how many days were you bullied?",40
42,"In that one day, how many times would you say other students did those things that made you feel bad or were hurtful to you?",41
43,Did you think the bullying would happen again?,42
44,"Thinking about the [time/times] you were bullied this school year, did more than one person do [this/these things] to you?",43
45,"Did these people act alone, together as a team, or both?",44
46,"Now I have some additional questions about the time [another student/other students] {behavior1}, {behavior2}, and {behaviorx…}. Thinking about the [person/people] who did [this/these things] to you this school year, [Was this person/Were any of these people/Was anyone in the group] physically bigger or stronger than you?",45
47,[Was this person/Were any of these people/Was anyone in the group] more popular than you?,46
48,[Did this person/Did any of these people/Did anyone in the group] have more money than you?,47
49,[Did this person/Did any of these people/Did anyone in the group] have the ability to influence what other students think of you?,48
50,[Did this person/Did any of these people/Did anyone in the group] have more power than you in another way?,49
51,In what other way [did that student/did any of those students] have more power than you?,50
52,What was your relationship to the student when they bullied you? Were they… Your brother or sister? Your boyfriend or girlfreind at the time? Your ex-boyfriend or ex-girlfreind at the time? Another student from school?,51
53,"Still thinking about the [time/times] that you were bullied, where did the bullying occur? Did it occur… Read answer categories, mark all that apply  1 = In a classroom at school?  2 = In a hallway or stairwell at school?  3 = In a bathroom or locker room at school?  4 = In a gymnasium or weight room at school?  5 = In a cafeteria or lunchroom at school?  6 = Outside on school grounds?  7 = On the way to or from school such as on a school bus or at a bus stop?  8 = Online or by text?  9 = Somewhere else? – Specify",52
54,Where is the other place where bullying occurred?,53
55,Did you tell a teacher or some other adult at school about being bullied?,54
56,"This school year, how much has bullying had a NEGATIVE effect on: Your school work? Your relationships with friends or family? How you feel about yourself? Your physical health for example, caused injuries, gave your headaches or stomach aches? ",55
57,"When you were bullied in school this year, did you ever think it was related to: Your race? Your religion? Your ethnic background or national origin- for example, people of Hispanic origin? Any condition you may have - such as a physical, mental, or developmental condition? Your gender? Your sexual orientation - such as gay, lesbian, bisexual, or straight? Your physical appearance?",56
58,"During this school year, has anyone called you an insulting or bad name at school having to do with your race, religion, ethnic background or national origin, disability, gender, or sexual orientation? We call these hate-related words.",57
59,"Were any of the hate-related words related to... Your race? Any disability you may have - such as physical, mental, or developmental disabilities? ",58
60,"During this school year, have you seen any hate-related words or symbols written in school classrooms, school bathrooms, school hallways, or on the outside of your school building?",59
61,"During this school year, have you seen any hate-related words, pictures, videos, or symbols posted on school sponsored websites or applications? This could include any website or application the school uses on a regular basis such as Google Classroom, Schoology, or Zoom.",60
62,"During this school year, did you ever skip any virtual classes because you were afraid other students would do things that make you feel bad or are hurtful to you?",61
63,"During this school year, did you ever STAY AWAY from any of the following places because you thought someone might attack or harm you there? For example, did you ever stay away from… The shortest route to school because you thought someone might attack or harm you? The entrance into the school? Any hallways or stairs in school? Parts of the school cafeteria or lunchroom? Any school restrooms? Other places inside the school building? School parking lot? Other places on school grounds? School bus or bus stop?",62
64,Did you AVOID any activities at your school because you thought someone might attack or harm you?,63
65,Did you AVOID any classes because you thought someone might attack or harm you?,64
66,"Did you stay home from school because you thought someone might attack or harm you in the school building, on school property, on a school bus, or going to or from school?",65
