question_id,question_text,survey_key
Q0001,At any time during this school year did you attend a public or private school in person?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0002,At any time during this school year did you receive any online schooling or virtual learning provided by a public or private school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0003,At any time during this school year did you receive homeschooling instead of being enrolled in a public or private school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0004,"At any time during this school year did you attend a homeschool cooperative, or co-op, in person?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0005,Did you receive [online schooling or virtual learning/homeschooling instead of being enrolled in a public or private school/online schooling or virtual learning or homeschooling instead of being enrolled in a public or private school] because of the Coronavirus pandemic?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0006,"For this next question, I’m going to read a list of 7 possible reasons that some families decided to homeschool rather than enroll in public or private school. You can say yes to more than one reason but please choose ones that best fit the reason or reasons your family decided to homeschool. Because of your experiences with bullying? Because of concerns about the school environment, such as safety, drugs, or negative peer pressure? Because you or your parents were not happy with the quality of the education you were receiving? Because of religious reasons? Because of a physical, mental, or developmental condition? Because of an illness that prevents you from attending school? Because of your county's decision to close the schools? Because of a different reason? What was the different reason?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0007,How many different schools have you attended this school year?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0008,"During the time you were homeschooled this school year, what grade would you have been enrolled in if you were in a public or private school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0009,What grade are you in?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0010,In what month did your current school year begin?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0011,Specify the other month that school year began,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0012,In what state is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0013,In what county is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0014,In what city is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0015,What is the complete name of your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0016,Is your school public or private?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0017,Is this the regular school that most of the students in your neighborhood attend?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0018,Is your school affiliated with a religion?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0019,What is the lowest grade taught in your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0020,What is the highest grade taught in your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0021,"When you attend school in person, how do you get to school most of the time this school year?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0022,"When you attend school in person, how do you get home from school most of the time this school year?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0023,"During this school year, have you participated in any of the following activities sponsored by your school: Spirit groups, for example, Cheerleading, Dance Team, or Pep Club? Athletic teams at school? Performing arts, for example Band, Choir, Orhcestra, or Drama? Academic clubs, for example, Debate Team, honor Society, Spanish Club, Math Club, or Computer Club? Class council or Student government, also known as SGA? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, or Recycling Club? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, Key Club, or Interact? Do not include community service hours required for graduation. Other School clubs or schoool activities?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
