question_text,char_length,word_count,num_surveys
At any time during this school year did you attend a public or private school in person?,88,17,2
At any time during this school year did you receive any online schooling or virtual learning provided by a public or private school?,132,23,1
At any time during this school year did you receive homeschooling instead of being enrolled in a public or private school?,122,21,1
"At any time during this school year did you attend a homeschool cooperative, or co-op, in person?",97,17,1
Did you receive [online schooling or virtual learning/homeschooling instead of being enrolled in a public or private school/online schooling or virtual learning or homeschooling instead of being enrolled in a public or private school] because of the Coronavirus pandemic?,271,39,1
"For this next question, I’m going to read a list of 7 possible reasons that some families decided to homeschool rather than enroll in public or private school. You can say yes to more than one reason but please choose ones that best fit the reason or reasons your family decided to homeschool. Because of your experiences with bullying? Because of concerns about the school environment, such as safety, drugs, or negative peer pressure? Because you or your parents were not happy with the quality of the education you were receiving? Because of religious reasons? Because of a physical, mental, or developmental condition? Because of an illness that prevents you from attending school? Because of your county's decision to close the schools? Because of a different reason? What was the different reason?",803,132,1
How many different schools have you attended this school year?,62,10,1
"During the time you were homeschooled this school year, what grade would you have been enrolled in if you were in a public or private school?",141,26,1
What grade are you in?,22,5,1
In what month did your current school year begin?,49,9,1
Specify the other month that school year began,46,8,1
In what state is your school located?,37,7,1
In what county is your school located?,38,7,1
In what city is your school located?,36,7,1
What is the complete name of your school?,41,8,1
Is your school public or private?,33,6,1
Is this the regular school that most of the students in your neighborhood attend?,81,14,1
Is your school affiliated with a religion?,42,7,1
What is the lowest grade taught in your school?,47,9,1
What is the highest grade taught in your school?,48,9,1
"When you attend school in person, how do you get to school most of the time this school year?",93,19,1
"When you attend school in person, how do you get home from school most of the time this school year?",100,20,1
"During this school year, have you participated in any of the following activities sponsored by your school: Spirit groups, for example, Cheerleading, Dance Team, or Pep Club? Athletic teams at school? Performing arts, for example Band, Choir, Orhcestra, or Drama? Academic clubs, for example, Debate Team, honor Society, Spanish Club, Math Club, or Computer Club? Class council or Student government, also known as SGA? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, or Recycling Club? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, Key Club, or Interact? Do not include community service hours required for graduation. Other School clubs or schoool activities?",791,116,1
What are the other school clubs or school activities you participated in?,73,12,1
"Does your school have: Security guards or assigned police officers? Other adults supervisiing the hallway, such as teachers, administrators, or volunteers? Metal detectors, including wands? Locked entrance or exit doors during the day? A requirement that visitors sign in AND wear visitor badges or stickers? Locker checks? A requirement that students wear badges or picture identification? One or more security cameras to monitor the school?",442,65,1
"Does your school have a code of student conduct, that is, a set of written rules or guidelines that the school provides to you?",127,24,1
"If you hear about a threat to school or student safety, do you have a way to report it without having to give your name? Probe: Do you have a way to report a threat, such as an anonymous drop box or hotline?",207,43,1
"In your classes, how often are you distracted from doing your schoolwork because other students are misbehaving, for example, talking or fighting?",146,22,1
"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? The school rules are fair. The punishment for breaking school rules is the same no matter who you are. The School rules are strictly enforced. If a school rule is broken, students know what kind of punishment will follow. Teachers treat students with respect.",374,60,1
"Thinking about the teachers and staff at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a TEACHER or other ADULT at school who… Really cares about you. Listens to you when you have something to say. tells you when you do a good job.",292,52,1
"Thinking about the students at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a STUDENT at school who… Really cares about you. Believes that you will be a success.",223,37,1
"Thinking about the neighborhood where YOU LIVE, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a lot of crime in the neighborhood where YOU LIVE.",192,31,1
"Thinking about the neighborhood where YOUR SCHOOL is located, would you strongly agree, agree, disagree, or strongly disagree with the following...? There is a lot of crime in the neighborhood where YOU go to SCHOOL.",216,35,1
"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? You feel safe in your school.",144,22,1
"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were attending virtual school?",150,25,1
"Is it possible for students to get any of the following while at school… Alcoholic beverages? Marijuana, also known as pot or weed? Heroin or prescription painkillers illegally obtained without a prescription, such as Codeine, Percocet, or fentanyl? These are also known as opoids. Other prescription drugs illegally obtained without a prescription, such as Xanax, Ritalin, or Adderall? Other illegal drugs, such as cocaine, uppers, or crystal meth?",449,68,1
"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were at school [IF E_ATTENDSCHOOL_VIRTUAL = “Yes” FILL: or during virtual classes]?",203,33,1
"During this school year, have you been in one or more physical fights at school?",80,15,1
"During this school year, how many times have you been in a physical fight at school?",84,16,1
