question_id,question_text,survey,is_multilevel,question_length
1,At any time during this school year did you attend a public or private school in person?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,88.0
2,At any time during this school year did you receive any online schooling or virtual learning provided by a public or private school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,132.0
3,At any time during this school year did you receive homeschooling instead of being enrolled in a public or private school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,122.0
4,"At any time during this school year did you attend a homeschool cooperative, or co-op, in person?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,97.0
5,Did you receive [online schooling or virtual learning/homeschooling instead of being enrolled in a public or private school/online schooling or virtual learning or homeschooling instead of being enrolled in a public or private school] because of the Coronavirus pandemic?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,271.0
6,"For this next question, I’m going to read a list of 7 possible reasons that some families decided to homeschool rather than enroll in public or private school. You can say yes to more than one reason but please choose ones that best fit the reason or reasons your family decided to homeschool. Because of your experiences with bullying? Because of concerns about the school environment, such as safety, drugs, or negative peer pressure? Because you or your parents were not happy with the quality of the education you were receiving? Because of religious reasons? Because of a physical, mental, or developmental condition? Because of an illness that prevents you from attending school? Because of your county's decision to close the schools? Because of a different reason? What was the different reason?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,803.0
7,How many different schools have you attended this school year?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,62.0
8,"During the time you were homeschooled this school year, what grade would you have been enrolled in if you were in a public or private school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,141.0
9,What grade are you in?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,22.0
10,In what month did your current school year begin?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,49.0
11,Specify the other month that school year began,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,46.0
12,In what state is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,37.0
13,In what county is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,38.0
14,In what city is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,36.0
15,What is the complete name of your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,41.0
16,Is your school public or private?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,33.0
17,Is this the regular school that most of the students in your neighborhood attend?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,81.0
18,Is your school affiliated with a religion?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,42.0
19,What is the lowest grade taught in your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,47.0
20,What is the highest grade taught in your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,48.0
21,"When you attend school in person, how do you get to school most of the time this school year?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,93.0
22,"When you attend school in person, how do you get home from school most of the time this school year?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,100.0
23,"During this school year, have you participated in any of the following activities sponsored by your school: Spirit groups, for example, Cheerleading, Dance Team, or Pep Club? Athletic teams at school? Performing arts, for example Band, Choir, Orhcestra, or Drama? Academic clubs, for example, Debate Team, honor Society, Spanish Club, Math Club, or Computer Club? Class council or Student government, also known as SGA? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, or Recycling Club? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, Key Club, or Interact? Do not include community service hours required for graduation. Other School clubs or schoool activities?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,791.0
24,What are the other school clubs or school activities you participated in?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,73.0
25,"Does your school have: Security guards or assigned police officers? Other adults supervisiing the hallway, such as teachers, administrators, or volunteers? Metal detectors, including wands? Locked entrance or exit doors during the day? A requirement that visitors sign in AND wear visitor badges or stickers? Locker checks? A requirement that students wear badges or picture identification? One or more security cameras to monitor the school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,442.0
26,"Does your school have a code of student conduct, that is, a set of written rules or guidelines that the school provides to you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,127.0
27,"If you hear about a threat to school or student safety, do you have a way to report it without having to give your name? Probe: Do you have a way to report a threat, such as an anonymous drop box or hotline?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,207.0
28,"In your classes, how often are you distracted from doing your schoolwork because other students are misbehaving, for example, talking or fighting?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,146.0
29,"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? The school rules are fair. The punishment for breaking school rules is the same no matter who you are. The School rules are strictly enforced. If a school rule is broken, students know what kind of punishment will follow. Teachers treat students with respect.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,374.0
30,"Thinking about the teachers and staff at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a TEACHER or other ADULT at school who… Really cares about you. Listens to you when you have something to say. tells you when you do a good job. ",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,293.0
31,"Thinking about the students at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a STUDENT at school who… Really cares about you. Believes that you will be a success.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,223.0
32,"Thinking about the neighborhood where YOU LIVE, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a lot of crime in the neighborhood where YOU LIVE.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,192.0
33,"Thinking about the neighborhood where YOUR SCHOOL is located, would you strongly agree, agree, disagree, or strongly disagree with the following...? There is a lot of crime in the neighborhood where YOU go to SCHOOL.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,216.0
34,"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? You feel safe in your school.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,144.0
35,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were attending virtual school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),False,150.0
