id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude,models_agree,final_topic,final_subtopic,decision_method,needs_human_review,arb_primary_topic,arb_primary_subtopic,arb_primary_conf,arb_secondary_topic,arb_secondary_subtopic,arb_is_dual_modal,arb_decision,arb_conf_tier,secondary_primary_topic,secondary_primary_subtopic,is_dual_modal,confidence_tier,question,primary_survey
10,Social,Schools,0.9,[],"Asks about the month the school year began, which is a school characteristic (timing/administrative detail) relevant to the Schools subtopic.",Social,Schools,0.85,[],"Question asks about school year timing, which is administrative information related to schools and school operations.",True,Social,Schools,agreement,False,,,,,,,,,,,,,Specify the other month that school year began,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
11,Government,Geography,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Asking for the state location is a geographic/jurisdictional question; it's also relevant to school-level data.,Government,Geography,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks for state location, which is geographic/jurisdictional information. Secondary relevance to schools as the subject.",True,Government,Geography,agreement,False,,,,,,,,,,,,,In what state is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
12,Government,Geography,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",County location is a geographic attribute (jurisdiction) of the school and ties to school-level data.,Government,Geography,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks for county location, which is geographic/jurisdictional information. Secondary relevance to schools as the subject.",True,Government,Geography,agreement,False,,,,,,,,,,,,,In what county is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
13,Government,Geography,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",City location is a geographic/jurisdictional attribute of the school and pertains to school placement.,Government,Geography,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks for city location, which is geographic/jurisdictional information. Secondary relevance to schools as the subject.",True,Government,Geography,agreement,False,,,,,,,,,,,,,In what city is your school located?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
14,Social,Schools,0.9,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Asking for the complete school name is an identification/detail about the school, relevant to the Schools subtopic.",Social,Schools,0.85,[],"Question asks for school identification/name, which is basic administrative information about schools.",True,Social,Schools,agreement,False,,,,,,,,,,,,,What is the complete name of your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
15,Social,Schools,0.9,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Public vs. private is a classification of the school (type/administration), fitting under Schools and related to school district/administration.",Social,Schools,0.9,[],"Question asks about school type (public vs. private), which is a fundamental characteristic of school classification.",True,Social,Schools,agreement,False,,,,,,,,,,,,,Is your school public or private?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
16,Social,Schools,0.85,"[{'topic': 'Government', 'subtopic': 'School Districts'}, {'topic': 'Government', 'subtopic': 'Jurisdiction'}]","Asks whether the school is the regular neighborhood school, a question about school assignment/catchment that relates to Schools and jurisdictional enrollment boundaries.",Social,Schools,0.8,"[{'topic': 'Government', 'subtopic': 'Geography'}]","Question asks about school's role in the neighborhood, relating to school characteristics and geographic context.",True,Social,Schools,agreement,False,,,,,,,,,,,,,Is this the regular school that most of the students in your neighborhood attend?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
17,Social,Schools,0.9,[],Religious affiliation is an attribute of the school (type/organizational characteristic) and fits within the Schools subtopic.,Social,Schools,0.85,[],"Question asks about religious affiliation of school, which is a characteristic of school classification and type.",True,Social,Schools,agreement,False,,,,,,,,,,,,,Is your school affiliated with a religion?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
18,Social,Schools,0.9,"[{'topic': 'Demographic', 'subtopic': 'Age'}]",Lowest grade taught is a structural characteristic of the school (grade levels served); it indirectly relates to student age ranges.,Social,Schools,0.9,[],"Question asks about grade structure of school, which is fundamental administrative information about school organization.",True,Social,Schools,agreement,False,,,,,,,,,,,,,What is the lowest grade taught in your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
19,Social,Schools,0.9,"[{'topic': 'Demographic', 'subtopic': 'Age'}]",Highest grade taught is a school structural attribute (grades served) and is indirectly related to student age cohorts.,Social,Schools,0.9,[],"Question asks about grade structure of school, which is fundamental administrative information about school organization.",True,Social,Schools,agreement,False,,,,,,,,,,,,,What is the highest grade taught in your school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
30,Social,Schools,0.8,[],"Asks about student relationships and school connectedness, which pertains to school climate and the Schools subtopic.",Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Child Care'}]","Question assesses student perceptions of supportive relationships and mentorship at school, which relates to school environment and educational support systems.",True,Social,Schools,agreement,False,,,,,,,,,,,,,"Thinking about the students at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a STUDENT at school who… Really cares about you. Believes that you will be a success.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
31,Social,Crime,0.95,[],"Directly asks respondents' perception of crime in their neighborhood, fitting the Crime subtopic.",Social,Crime,0.95,"[{'topic': 'Government', 'subtopic': 'Geography'}]","Question directly asks about crime prevalence in the respondent's residential neighborhood, which is a core crime victimization survey measure.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"Thinking about the neighborhood where YOU LIVE, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a lot of crime in the neighborhood where YOU LIVE.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
