,SIPP,AHS,NHIS,CE,CPS,FoodAPS Init,NSCG,NSCH 0-5,ATUS,NTPS Teacher,HTOPS,Food Acquisition and...,NSCH 12-17,NSCH 6-11,NTPS Priv Teacher,NTEWS,NSSRN,Unnamed: 48,NTPS School,TFS Former,FoodAPS Profile,CMP,NTPS Priv School,SPP,TFS Current,NTPS Priv Principal,Survey of Market Abs...,NTPS Principal,SCS/NCVS,FoodAPS food Log,SVS,PSS,MEPS-IC,PFS,SSOCS,Principal Follow-Up ...,Survey of State Gove...,Unknown,National Survey of C...,ITS
Demographic > Age,7,6,11,3,3,3,1,6,3,1,1,0,3,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Demographic > Foreign Born,8,3,7,0,3,0,2,3,1,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demographic > Hispanic Origin,2,4,7,1,3,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Demographic > Marital Status,8,3,10,1,2,2,1,1,1,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demographic > Population,14,1,7,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Demographic > Race,3,8,12,1,3,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Demographic > Relationship,20,9,13,3,10,2,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Demographic > Sex,2,5,8,1,1,3,1,3,2,1,0,0,2,2,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Economic > Commissions,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic > Commute/Commuting,12,1,0,1,1,9,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic > Earnings,38,7,0,6,23,10,6,0,0,3,0,10,0,0,6,2,4,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,1,0
Economic > Employment Status,52,4,7,1,36,9,5,2,16,1,3,0,2,3,3,6,16,1,0,7,3,1,0,12,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0
Economic > Food Stamps (SNAP),43,1,3,3,0,22,0,1,0,0,3,10,2,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Economic > Health Insurance,79,0,152,94,0,2,0,5,0,0,1,0,8,5,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Economic > Hours/Week, Weeks/Year",33,0,4,4,19,6,4,0,5,6,0,0,0,0,5,4,11,1,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic > Labor Force,11,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic > Occupation,7,2,0,2,11,0,25,0,3,4,0,0,0,0,4,24,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Economic > Sales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Economic > Unemployment,29,0,1,0,12,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Housing > Costs (Mortgage, Taxes, Insurance)",23,39,0,61,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Housing > Heating Fuel,0,35,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Housing > Home Value,13,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Housing > Plumbing/Kitchen Facilities,1,50,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Housing > Rental,8,17,2,19,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Housing > Structure,6,121,0,12,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Housing > Tenure (Own/Rent),3,6,2,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Housing > Utilities,4,59,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
