AN,CC.1,CC.2,CC.3,CC.4,MC.2,MC.3,PC.1,PC.3,PM.2,RS.1,RS.2,RS.3,TC.1,TC.2,TC.3
CC.1,485,14,0,0,0,0,0,0,0,0,0,0,1,1,0
CC.2,17,91,1,1,0,0,0,0,1,0,1,0,1,4,0
CC.4,0,2,0,18,0,0,0,0,1,0,0,0,0,0,0
MC.2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
MC.3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
NHB.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PC.1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
PC.3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PM.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RS.1,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0
RS.2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
TC.1,0,2,0,0,0,0,0,0,0,0,0,0,30,5,0
TC.2,0,0,0,1,0,0,0,0,0,0,0,0,2,33,1
TC.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
