survey,survey_q_id,question_text,pair_count,has_consolidable_path,has_f1_path,best_is_f2,all_f3,best_feasibility
CPS,CPS_102,(Are / Is) ( you/he/she) being paid by (your/his/her) employer for any of the time off (the week before last/last week)?,6,False,False,False,True,F3
CPS,CPS_26,"(Are / Is) (name of person talking about) (your / father's name) biological, step, or adopted child?",3,True,False,True,False,F2
CPS,CPS_24,"(Are / Is) (name of person talking about) (your / mother's name) biological, step, or adopted child?",3,True,False,True,False,F2
CPS,CPS_36,(Are / Is) (name/you) (now/still) in the Armed Forces?,4,True,False,True,False,F2
CPS,CPS_44,"(Are / Is) (name/you) Mexican, Mexican American, or Chicano, Puerto Rican, Cuban, Cuban American, or another Hispanic, Latino, or Spanish origin; for example, Argentinean, Columbian, Dominican, Nicaraguan, Salvadoran, Spaniard, and so on?",1,True,True,False,False,F1
CPS,CPS_32,"(Are / Is) (name/you) now married, widowed, divorced, separated or never married?",3,False,False,False,True,F3
CPS,CPS_288,(Are / Is) (name/you) retired FROM A JOB OR BUSINESS?,5,True,False,True,False,F2
CPS,CPS_292,(Are / Is) (you/he/she) enrolled in school as a full time or part time student?,4,False,False,False,True,F3
CPS,CPS_5,(Are all of these persons still living here? / Person status),4,False,False,False,True,F3
CPS,CPS_295,"(Are you/Is NAME/Is anyone/Are any of the new household members) blind or (do you/does NAME/does anyone/do they) have serious difficulty seeing, even when wearing glasses?",5,False,False,False,True,F3
CPS,CPS_294,(Are you/Is NAME/Is anyone/Are any of the new household members) deaf or (do you/does NAME/does anyone/do they) have serious difficulty hearing?,6,True,True,False,False,F1
CPS,CPS_57,"(Do / Does) (name/you) currently want a job, either full or part time?",32,False,False,False,True,F3
CPS,CPS_66,(Do / Does) (name/you) have a disability that prevents (you/he/she) from accepting any kind of work during the next six months?,150,True,False,True,False,F2
CPS,CPS_181,(Do / Does) (name/you) intend to look for work during the next 12 months?,1,False,False,False,True,F3
CPS,CPS_108,(Do / Does) (name/you) want to work a full time workweek of 35 hours or more per week?,5,False,False,False,True,F3
CPS,CPS_107,(Do / Does) (you/he/she) usually work 35 hours or more per week (at (your/his/her) job/in the family business/ at all (your/his/her) jobs combined)?,8,True,True,False,False,F1
