,SIPP,CE,AHS,CPS,FoodAPS
Demographic > Age,7,3,6,3,3
Demographic > Foreign Born,8,0,3,3,0
Demographic > Hispanic Origin,2,1,4,3,0
Demographic > Marital Status,8,1,3,2,2
Demographic > Population,14,1,1,4,0
Demographic > Race,3,1,8,3,2
Demographic > Relationship,20,3,9,10,2
Demographic > Sex,2,1,5,1,3
Economic > Commissions,0,0,0,2,0
Economic > Commute/Commuting,12,1,1,1,9
Economic > Earnings,38,6,7,23,10
Economic > Employment Status,52,1,4,36,9
Economic > Food Stamps (SNAP),43,3,1,0,22
Economic > Health Insurance,79,94,0,0,2
"Economic > Hours/Week, Weeks/Year",33,4,0,19,6
Economic > Labor Force,11,0,0,6,0
Economic > Occupation,7,2,2,11,0
Economic > Sales,0,0,1,0,0
Economic > Unemployment,29,0,0,12,1
"Housing > Costs (Mortgage, Taxes, Insurance)",23,61,39,0,6
Housing > Heating Fuel,0,4,35,0,0
Housing > Home Value,13,4,5,0,0
Housing > Plumbing/Kitchen Facilities,1,2,50,0,0
Housing > Rental,8,19,17,0,1
Housing > Structure,6,12,121,0,0
Housing > Tenure (Own/Rent),3,5,6,1,1
Housing > Utilities,4,11,59,0,0
Housing > Vehicles,2,0,0,0,2
Housing > Year Built,0,0,5,0,0
Housing > Year Moved In,4,2,6,0,0
Social > Citizenship,3,0,3,3,0
Social > Computer & Internet Use,0,7,1,0,4
Social > Disability,28,0,11,17,1
Social > Education,23,5,2,5,2
Social > Fertility,1,0,0,0,1
Social > Field of Degree,1,0,0,0,0
Social > Grandparents,1,0,0,0,0
Social > Household,44,21,19,10,18
Social > Language,8,3,1,0,0
Social > Migration,3,0,1,1,0
Social > Moving,9,2,20,1,0
Social > School Enrollment,12,1,1,2,11
Social > Veterans,12,2,3,2,5
