id,survey,question,question_length
81,Unknown,,3
150,Unknown,,3
223,Unknown,,3
384,Unknown,,3
527,Unknown,,3
675,Unknown,,3
860,Unknown,,3
998,Unknown,,3
1188,Unknown,,3
1307,Unknown,,3
1419,Unknown,,3
1471,Unknown,,3
1505,Unknown,,3
1522,Unknown,,3
2305,Unknown,,3
2513,Unknown,,3
2614,Unknown,,3
3721,Unknown,,3
3837,Unknown,,3
3838,Survey of Income and Program Participation (SIPP),Did you receive our letter?,27
3839,Survey of Income and Program Participation (SIPP),This interview may be recorded for quality control purposes. Is that okay?,74
5056,Unknown,,3
5165,Unknown,,3
5431,Unknown,,3
5460,Unknown,,3
5461,American Housing Survey (AHS),"What date (month, day, year) can the FR come back and complete ... interview?",77
5462,American Housing Survey (AHS),What time can the FR come back and complete ... interview?,58
6660,Unknown,,3
6774,Unknown,,3
6781,Unknown,,3
6791,Unknown,,3
6813,Unknown,,3
6951,Unknown,,3
