id,question,original_gpt5mini,original_haiku45,original_gpt_confidence,original_claude_confidence,min_confidence,confidence_tier,decision,primary_topic,primary_subtopic,primary_confidence,secondary_primary_topic,secondary_primary_subtopic,secondary_primary_confidence,all_relevant_subtopics,reasoning,is_dual_modal,status
36,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were at school [IF E_ATTENDSCHOOL_VIRTUAL = “Yes” FILL: or during virtual classes]?",Social.Schools,Social.Crime,0.8,0.85,0.8,medium,pick_haiku45,Social,Crime,0.85,,,,"[""Social.Crime"", ""Social.Schools""]","This question is from the School Crime Supplement to the National Crime Victimization Survey, explicitly focused on crime victimization and criminal behavior observation. While the setting is a school, the primary focus is on witnessing illegal drug/alcohol use (criminal behavior), making Crime the appropriate primary subtopic. The school context is the setting, not the subject of inquiry.",False,arbitrated
34,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were attending virtual school?",Social.Schools,Social.Crime,0.8,0.85,0.8,medium,pick_gpt5mini,Social,Schools,0.85,,,,"[""Social.Schools"", ""Social.Crime""]","This question is fundamentally about the school environment and student experiences during virtual schooling, making 'Schools' the primary subtopic. While the question mentions observing substance use (which relates to crime/deviance), the core focus is on what students witness in the school setting rather than crime victimization or criminal behavior itself. The question is from a School Crime Supplement survey, but the specific query centers on the school experience context.",False,arbitrated
35,"Is it possible for students to get any of the following while at school… Alcoholic beverages? Marijuana, also known as pot or weed? Heroin or prescription painkillers illegally obtained without a prescription, such as Codeine, Percocet, or fentanyl? These are also known as opoids. Other prescription drugs illegally obtained without a prescription, such as Xanax, Ritalin, or Adderall? Other illegal drugs, such as cocaine, uppers, or crystal meth?",Social.Schools,Social.Crime,0.85,0.85,0.85,medium,pick_gpt5mini,Social,Schools,0.9,,,,"[""Social.Schools"", ""Social.Crime""]","This question is fundamentally about the school environment and what is accessible to students within that setting. While the question addresses illegal substances (a crime-related topic), the primary focus is on characterizing conditions at schools - specifically, the availability of drugs and alcohol on school premises. The question is from a School Crime Supplement survey and is asking about the school context specifically, making 'Schools' the most appropriate primary subtopic.",False,arbitrated
54,Did you tell a teacher or some other adult at school about being bullied?,Social.Schools,Social.Crime,0.9,0.88,0.88,medium,pick_gpt5mini,Social,Schools,0.92,,,,"[""Social.Schools"", ""Social.Crime"", ""Social.Children""]","This question is fundamentally about school-based reporting behavior in an educational context. While the question mentions bullying (which has crime-related aspects), the core focus is on the school environment and interaction with school adults/teachers. The question is asking about actions taken within the school system, making 'Schools' the most accurate primary subtopic. Crime is a relevant secondary context but does not constitute a dual primary.",False,arbitrated
55,"This school year, how much has bullying had a NEGATIVE effect on: Your school work? Your relationships with friends or family? How you feel about yourself? Your physical health for example, caused injuries, gave your headaches or stomach aches? ",Social.Schools,Social.Crime,0.85,0.89,0.85,medium,pick_haiku45,Social,Crime,0.88,,,,"[""Social.Crime"", ""Social.Schools"", ""Social.Education""]","This question is from the School Crime Supplement to the National Crime Victimization Survey, explicitly focused on bullying as a crime/victimization issue. While the context is schools, the primary focus is measuring the negative effects of bullying (a form of victimization/crime) on various aspects of students' lives. The question is fundamentally about crime victimization impacts, making Crime the more accurate primary subtopic than Schools.",False,arbitrated
50,In what other way [did that student/did any of those students] have more power than you?,Social.Schools,Social.Crime,0.85,0.92,0.85,medium,dual_modal,Social,Crime,0.88,Social,Schools,0.88,"[""Social.Crime"", ""Social.Schools""]","This question is from the School Crime Supplement, which is explicitly designed to measure crime victimization in school settings. The question asks about power dynamics between students in the context of victimization ('that student' refers to a perpetrator), making it fundamentally about both crime victimization AND the school environment simultaneously. Unlike most questions where one topic dominates, this cannot be accurately categorized without acknowledging both the crime measurement aspect (from NCVS framework) and the school-specific context (SCS supplement) - the survey itself exists because school crime is a distinct phenomenon requiring dual classification.",True,arbitrated
77,"During the last 4 weeks of school, did you skip any classes? Again, we would like to remind you that none of your responses will be shared with anyone at your school or home.",Social.Schools,Social.School Enrollment,0.9,0.85,0.85,medium,pick_gpt5mini,Social,Schools,0.9,,,,"[""Social.Schools"", ""Social.School Enrollment"", ""Social.Crime""]","This question is fundamentally about school attendance behavior (skipping classes), which falls under the broader 'Schools' subtopic. While 'School Enrollment' relates to whether someone is enrolled in school, this question asks about behavior within the school context itself. The 'Schools' subtopic is the more appropriate and direct match for questions about school-related activities and behaviors.",False,arbitrated
58,"Were any of the hate-related words related to... Your race? Any disability you may have - such as physical, mental, or developmental disabilities? ",Demographic.Race,Social.Crime,0.85,0.9,0.85,medium,pick_haiku45,Social,Crime,0.92,,,,"[""Social.Crime"", ""Demographic.Race"", ""Social.Disability""]","This question is from the School Crime Supplement/National Crime Victimization Survey and specifically asks about hate-related words in the context of criminal victimization. While race and disability are mentioned as potential targets of hate speech, the primary purpose is to categorize crime incidents by their hate-crime characteristics. The question fundamentally measures crime victimization, not demographic composition or disability prevalence.",False,arbitrated
78,"During the last 4 weeks of school, on how many days did you skip at least one class?",Social.Schools,Social.School Enrollment,0.9,0.85,0.85,medium,pick_gpt5mini,Social,Schools,0.92,,,,"[""Social.Schools"", ""Social.School Enrollment"", ""Social.Crime""]","This question asks about school attendance behavior (skipping classes) in the context of a crime victimization survey. While 'School Enrollment' relates to whether someone is enrolled in school, 'Schools' is the more appropriate subtopic as it encompasses school-related behaviors and experiences beyond just enrollment status. The question is fundamentally about school attendance patterns, which falls under the broader 'Schools' category rather than the narrower enrollment-focused subtopic.",False,arbitrated
82,1. Have you ever had a checking or savings account in your name through a bank or financial institution?,Social.Crime,Economic.Income,0.85,0.75,0.75,medium,pick_gpt5mini,Social,Crime,0.88,,,,"[""Social.Crime"", ""Economic.Income""]","This question is from the Identity Theft Supplement (ITS), which is explicitly designed to measure identity theft victimization - a crime category. While the question asks about bank accounts (which relates to economic activity), the survey context makes clear this is screening for potential identity theft victims, not measuring economic status or income. The primary purpose is crime measurement, making Social.Crime the correct primary categorization.",False,arbitrated
