id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
10,Social,Schools,0.9,[],"Asks about the month the school year began, which is a school characteristic (timing/administrative detail) relevant to the Schools subtopic.",Social,Schools,0.85,[],"Question asks about school year timing, which is administrative information related to schools and school operations."
11,Government,Geography,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Asking for the state location is a geographic/jurisdictional question; it's also relevant to school-level data.,Government,Geography,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks for state location, which is geographic/jurisdictional information. Secondary relevance to schools as the subject."
12,Government,Geography,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",County location is a geographic attribute (jurisdiction) of the school and ties to school-level data.,Government,Geography,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks for county location, which is geographic/jurisdictional information. Secondary relevance to schools as the subject."
13,Government,Geography,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",City location is a geographic/jurisdictional attribute of the school and pertains to school placement.,Government,Geography,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks for city location, which is geographic/jurisdictional information. Secondary relevance to schools as the subject."
14,Social,Schools,0.9,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Asking for the complete school name is an identification/detail about the school, relevant to the Schools subtopic.",Social,Schools,0.85,[],"Question asks for school identification/name, which is basic administrative information about schools."
15,Social,Schools,0.9,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Public vs. private is a classification of the school (type/administration), fitting under Schools and related to school district/administration.",Social,Schools,0.9,[],"Question asks about school type (public vs. private), which is a fundamental characteristic of school classification."
16,Social,Schools,0.85,"[{'topic': 'Government', 'subtopic': 'School Districts'}, {'topic': 'Government', 'subtopic': 'Jurisdiction'}]","Asks whether the school is the regular neighborhood school, a question about school assignment/catchment that relates to Schools and jurisdictional enrollment boundaries.",Social,Schools,0.8,"[{'topic': 'Government', 'subtopic': 'Geography'}]","Question asks about school's role in the neighborhood, relating to school characteristics and geographic context."
17,Social,Schools,0.9,[],Religious affiliation is an attribute of the school (type/organizational characteristic) and fits within the Schools subtopic.,Social,Schools,0.85,[],"Question asks about religious affiliation of school, which is a characteristic of school classification and type."
18,Social,Schools,0.9,"[{'topic': 'Demographic', 'subtopic': 'Age'}]",Lowest grade taught is a structural characteristic of the school (grade levels served); it indirectly relates to student age ranges.,Social,Schools,0.9,[],"Question asks about grade structure of school, which is fundamental administrative information about school organization."
19,Social,Schools,0.9,"[{'topic': 'Demographic', 'subtopic': 'Age'}]",Highest grade taught is a school structural attribute (grades served) and is indirectly related to student age cohorts.,Social,Schools,0.9,[],"Question asks about grade structure of school, which is fundamental administrative information about school organization."
