pair_id,survey_q_id,survey_text,acs_q_id,acs_text,subtopic
CPS_0000,CPS_6,(What are the names of all persons living or staying here? / What is the name of the next person,ACS_19,How many people are living or staying at this address?,Population
CPS_0001,CPS_6,(What are the names of all persons living or staying here? / What is the name of the next person,ACS_20,Please print today’s date.,Population
CPS_0002,CPS_10,Are there any other persons 15 years old or older now living or staying there? (Who have not been listed.) How many other?,ACS_19,How many people are living or staying at this address?,Population
CPS_0003,CPS_10,Are there any other persons 15 years old or older now living or staying there? (Who have not been listed.) How many other?,ACS_20,Please print today’s date.,Population
CPS_0004,CPS_11,I have listed . . . READ NAMES Have I missed any babies or small children?,ACS_19,How many people are living or staying at this address?,Population
CPS_0005,CPS_11,I have listed . . . READ NAMES Have I missed any babies or small children?,ACS_20,Please print today’s date.,Population
CPS_0006,CPS_12,"Have I missed anyone who usually lives here but is away now -traveling, at school, or in a hospital?",ACS_19,How many people are living or staying at this address?,Population
CPS_0007,CPS_12,"Have I missed anyone who usually lives here but is away now -traveling, at school, or in a hospital?",ACS_20,Please print today’s date.,Population
CPS_0008,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",ACS_90,What is this person’s marital status?,Marital Status
CPS_0009,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",ACS_91,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital Status
CPS_0010,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",ACS_92,How many times has this person been married?,Marital Status
CPS_0011,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",ACS_93,In what year did this person last get married?,Marital Status
CPS_0012,CPS_32,"(Are / Is) (name/you) now married, widowed, divorced, separated or never married?",ACS_90,What is this person’s marital status?,Marital Status
CPS_0013,CPS_32,"(Are / Is) (name/you) now married, widowed, divorced, separated or never married?",ACS_91,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital Status
CPS_0014,CPS_32,"(Are / Is) (name/you) now married, widowed, divorced, separated or never married?",ACS_92,How many times has this person been married?,Marital Status
CPS_0015,CPS_32,"(Are / Is) (name/you) now married, widowed, divorced, separated or never married?",ACS_93,In what year did this person last get married?,Marital Status
CPS_0016,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_6,How many hours do you usually work per week at this rate?,"Hours/Week, Weeks/Year"
CPS_0017,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_7,How many hours do you usually work per week at this rate?,"Hours/Week, Weeks/Year"
CPS_0018,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_10,How many hours do you usually work per week at this rate?,"Hours/Week, Weeks/Year"
CPS_0019,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_11,How many hours do you usually work per week at this rate?,"Hours/Week, Weeks/Year"
CPS_0020,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_12,What is your best estimate of the number of hours per week you usually work at this rate?,"Hours/Week, Weeks/Year"
CPS_0021,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_115,"During the PAST 12 MONTHS (52 weeks), did this person work EVERY week? Count paid vacation, paid sick leave, and military service as work","Hours/Week, Weeks/Year"
CPS_0022,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_116,"During the PAST 12 MONTHS (52 weeks), how many WEEKS did this person work? Include paid time off and include weeks when the person only worked for a few hours.","Hours/Week, Weeks/Year"
CPS_0023,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?","Hours/Week, Weeks/Year"
