pair_id,model,classification,error
P_0003,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0001,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0002,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0004,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0008,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0007,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0006,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0005,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0010,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0011,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0009,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0012,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0013,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0014,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0015,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0016,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0018,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0017,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0019,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0020,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0021,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0022,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0023,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0024,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0025,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0026,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0027,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0028,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0029,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0030,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0031,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0032,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0034,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0033,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0035,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0036,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0037,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0038,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0039,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0040,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0042,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0041,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0043,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0044,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0045,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0046,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0047,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0048,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0050,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0049,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0051,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0052,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0054,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0053,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0055,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0056,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0058,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0057,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0059,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0060,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0061,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0062,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0063,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0064,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0065,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0066,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0067,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0068,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0069,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0070,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0071,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0072,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0074,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0073,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
