id,survey,question,question_length,primary_topic_openai,primary_subtopic_openai,confidence_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,min_confidence,confidence_diff
6203,American Housing Survey (AHS),"Contact in 2-6 years If we talk to someone else in your household the next time, instead of you, is it OK if we use your answers as a starting point?",149,Social,Household,0.75,N/A,N/A,0.0,0.0,0.75
5377,Unknown,,3,Social,Household,0.05,Unknown,Unknown,0.0,0.0,0.05
6200,American Housing Survey (AHS),What time would be best to call back?,37,Social,Household,0.8,N/A,N/A,0.0,0.0,0.8
1355,Unknown,,3,Demographic,Population,0.2,Unknown,Unknown,0.0,0.0,0.2
6747,Unknown,,3,Social,Household,0.0,Unknown,Unknown,0.0,0.0,0.0
6201,American Housing Survey (AHS),"In general, what is the best time of day to reach this household?",65,Social,Household,0.8,N/A,N/A,0.0,0.0,0.8
6202,American Housing Survey (AHS),Would a possible Sunday interview be acceptable?,48,Social,Household,0.8,N/A,N/A,0.0,0.0,0.8
6205,Unknown,,3,Social,Household,0.05,N/A,N/A,0.0,0.0,0.05
6244,Unknown,,3,Unknown,Unknown,0.01,Social,Schools,0.0,0.0,0.01
917,Unknown,,3,Social,Schools,0.05,Unknown,Unknown,0.0,0.0,0.05
3675,Consumer Expenditure Survey (CE),How sensitive did you feel the questions I asked today were? 1. Not at all sensitive 2. A little sensitive 3. Somewhat sensitive 4. Very sensitive 5. Extremely sensitive,169,Government,Federal Government,0.2,Social,Household,0.45,0.2,0.25
3676,Consumer Expenditure Survey (CE),"In thinking about the length of today's survey, would you say that it was... 1. Very short? 2. Somewhat short? 3. Neither short nor long? 4. Somewhat long? 5. Very long?",169,Government,Federal Government,0.2,Social,Household,0.45,0.2,0.25
3674,Consumer Expenditure Survey (CE),How difficult was it for you to answer the questions in this survey? 1. Not at all difficult 2. A little difficult 3. Somewhat difficult 4. Very difficult 5. Extremely difficult,177,Government,Federal Government,0.2,Social,Household,0.45,0.2,0.25
3673,Consumer Expenditure Survey (CE),How burdensome was this survey to you? Would you say: 1. Not at all burdensome? 2. A little burdensome? 3. Somewhat burdensome? 4. Very burdensome? 5. Extremely burdensome?,172,Government,Federal Government,0.2,Social,Household,0.45,0.2,0.25
3677,Consumer Expenditure Survey (CE),Are there any Don't Know items that you need to callback for?,61,Government,Federal Government,0.25,Social,Household,0.4,0.25,0.15000000000000002
3678,Consumer Expenditure Survey (CE),I'd like to schedule a DATE to complete the (missing items/interview). What DATE AND TIME would be best to visit you again?,123,Government,Federal Government,0.25,Social,Household,0.4,0.25,0.15000000000000002
3679,Consumer Expenditure Survey (CE),Today is (current date). I would like to return during the first week of (month) to conduct your next interview. What day and time works best with your schedule?,161,Government,Federal Government,0.25,Social,Household,0.4,0.25,0.15000000000000002
1048,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,Please enter the date you completed this questionnaire.,55,Social,Household,0.3,Government,Geography,0.25,0.25,0.04999999999999999
1049,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,"Please indicate how much time it took you to complete this form, not counting interruptions.",92,Social,Household,0.3,Government,Geography,0.25,0.25,0.04999999999999999
6950,Medical Expenditure Panel Survey Insurance Component,Approximately how long did it take to complete this survey?,59,Government,Research and Development,0.3,Social,Medical Care,0.45,0.3,0.15000000000000002
3740,American Community Survey (ACS),Please print today’s date.,26,Social,Household,0.3,Demographic,Population,0.5,0.3,0.2
3708,Consumer Expenditure Survey (CE),OTHER SPECIFY - PARTIAL INTERVIEW OR UNABLE TO CONDUCT INTERVIEW Specify the reason for not completing the interview during this contact attempt.,145,Social,Household,0.75,Economic,Expenditures,0.35,0.35,0.4
3680,Consumer Expenditure Survey (CE),"In case I need to contact you about this appointment, is there (a / a secondary) phone number and/or e-mail where I can reach you?",130,Social,Household,0.75,Government,Geography,0.35,0.35,0.4
5488,American Housing Survey (AHS),What type of Noninterview do you have?,38,Housing,Vacancy/Vacancies,0.7,Social,Household,0.35,0.35,0.35
3681,Consumer Expenditure Survey (CE),"Is this a home, work, or cell number? 1. Home 2. Work 3. Cell",61,Social,Household,0.7,Government,Geography,0.35,0.35,0.35
