Survey,Questions,Primary_Topic,Topic_Coverage,Unique_Concepts,Top_5_Concepts
Survey of Income and Program Participation (SIPP),1216,Economic,"Economic (61.9%), Social (24.0%), Housing (6.7%)",76,"Income (338), Health Insurance (79), Employment Status (52), Household (44), Child Care (44)"
Consumer Expenditure Survey (CE),1106,Economic,"Economic (76.4%), Housing (16.0%), Social (5.6%)",65,"Expenditures (509), Health Insurance (94), Costs (Mortgage, Taxes, Insurance) (61), Income (53), Vehicle (51)"
National Health Interview Survey (NHIS),782,Social,"Social (63.0%), Economic (25.7%), Demographic (10.1%)",42,"Medical Care (254), Health Insurance (152), Disability (116), Income (32), Children (31)"
American Housing Survey (AHS),738,Housing,"Housing (76.6%), Social (10.0%), Economic (8.0%)",55,"Structure (121), Utilities (59), Construction (55), Plumbing/Kitchen Facilities (50), Housing (42)"
Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,246,Economic,"Economic (52.4%), Social (37.4%), Demographic (4.9%)",42,"Income (24), Food Stamps (SNAP) (22), Medical Care (21), Household (18), Schools (14)"
Current Population Survey (CPS),211,Economic,"Economic (65.4%), Social (19.9%), Demographic (13.7%)",35,"Employment Status (36), Earnings (23), Hours/Week, Weeks/Year (19), Disability (17), Unemployment (12)"
National Sample Survey of Registered Nurses (NSSRN),183,Economic,"Economic (71.0%), Social (27.9%), Demographic (1.1%)",25,"Nurses (86), Employment Status (16), Post-Secondary Education (15), Hours/Week, Weeks/Year (11), COVID-19 Data (8)"
"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)",160,Social,"Social (79.4%), Demographic (10.0%), Economic (7.5%)",28,"Medical Care (40), Children (39), Disability (22), Education (13), Age (6)"
"National Survey of Children's Health Topical Questionaire (Children, 12-17)",147,Social,"Social (77.6%), Economic (12.2%), Demographic (8.8%)",22,"Medical Care (63), Children (17), Disability (9), Health Insurance (8), Household (7)"
"National Survey of Children's Health Topical Questionaire (Chilren, 6-11)",142,Social,"Social (78.9%), Economic (10.6%), Demographic (8.5%)",22,"Medical Care (61), Children (14), Disability (12), Household (7), Education (6)"
Medical Expenditure Panel Survey Insurance Component,137,Economic,"Economic (93.4%), Social (5.8%), Government (0.7%)",23,"Research and Development (80), Medical Care (8), Expenditures (7), Revenue (6), Business (5)"
National Survey of College Graduates (NSCG),121,Economic,"Economic (50.4%), Social (43.0%), Demographic (5.8%)",33,"Occupation (25), Post-Secondary Education (20), Field of Degree (7), Citizenship (7), Employer (6)"
National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,118,Social,"Social (56.8%), Economic (39.0%), Demographic (3.4%)",27,"Teacher (19), Education (19), Schools (11), Teacher (8), Earnings (6)"
American Community Survey (ACS),115,Economic,"Economic (27.8%), Social (27.8%), Housing (23.5%)",44,"Costs (Mortgage, Taxes, Insurance) (9), Disability (6), Earnings (6), Hours/Week, Weeks/Year (6), School Enrollment (5)"
National Teacher and Principal Survey (NTPS) Teacher Questionnaire,114,Social,"Social (55.3%), Economic (41.2%), Demographic (3.5%)",24,"Education (29), Teacher (29), Field of Degree (7), Crime (6), Hours/Week, Weeks/Year (6)"
Household Trends and Outlook Pulse Survey (HTOPS),108,Social,"Social (56.5%), Economic (24.1%), Housing (14.8%)",35,"Household (17), Medical Care (11), Disability (8), Emergency (8), Children (5)"
