OA,CC.1,CC.2,CC.3,CC.4,MC.2,MC.3,MC.4,NHB.0,PC.1,PC.3,PM.2,RS.1,RS.2,TC.1,TC.2,TC.3
CC.1,878,26,0,4,0,0,0,0,1,0,0,9,0,2,3,0
CC.2,79,197,0,15,0,1,0,0,0,1,0,15,2,12,11,0
CC.3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
CC.4,4,0,1,129,0,1,0,0,0,1,0,0,0,1,1,0
MC.2,2,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0
MC.3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0
MC.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
NHB.0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,2,0
PC.1,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
PC.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PM.2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
RS.1,3,0,0,0,0,0,0,2,0,0,0,36,3,1,0,0
RS.2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
RS.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TC.1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
TC.2,0,0,0,0,0,0,0,0,0,0,0,2,0,18,44,0
TC.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
