,CC.1,CC.2,CC.3,CC.4,MC.1,MC.2,MC.3,MC.4,NHB.0,PC.1,PC.3,PM.2,RS.1,RS.2,RS.3,RS.4,TC.1,TC.2,TC.3
CC.1,712,147,0,12,0,3,1,0,1,1,0,0,10,6,0,0,5,3,0
CC.2,104,92,2,12,0,10,2,0,0,1,0,0,15,1,0,0,7,8,0
CC.3,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC.4,17,5,5,78,0,4,0,1,0,0,0,0,3,1,1,0,4,3,0
MC.1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
MC.2,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
MC.3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0
MC.4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NHB.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
PC.1,11,1,2,0,1,3,0,1,1,3,0,0,2,1,0,0,0,3,0
PC.3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
PM.2,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
RS.1,2,1,0,5,0,0,0,0,0,0,0,0,36,1,0,0,0,2,0
RS.2,0,7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0
RS.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RS.4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
TC.1,5,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,53,5,0
TC.2,9,11,0,0,0,0,2,0,0,0,0,0,1,0,0,0,27,55,0
TC.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
