pair_id,final_feasibility,confidence,n_all_votes,score_composite,score_entropy,score_bayesian,score_borda,score_ensemble,rank_composite,rank_entropy,rank_bayesian,rank_borda,rank_ensemble,rank_std
FOODAPS_0590,F2,LOW,5,0.66,0.026646089033290018,0.6277142857142858,0.6,0.37714573496237136,1577.0,1593.0,277.0,101.0,310.0,809.2037238339099
CPS_0502,F3,MODERATE,6,0.67,0.026195454214279334,0.67425,0.6666666666666666,0.4101464790567131,1525.0,1595.0,252.0,95.0,305.0,803.5663735290736
CPS_0017,F2,LOW,6,0.66,0.28181528992858434,0.79925,0.6666666666666666,0.5156316297422576,1577.0,1251.0,1.0,95.0,282.0,800.7313323872537
CPS_1063,F3,MODERATE,5,0.67,0.013124193105948815,0.6277142857142858,0.6,0.37465663456393794,1525.0,1596.0,277.0,101.0,312.0,795.6173179781009
FOODAPS_0140,F3,LOW,5,0.33,0.17968964804881357,0.6277142857142858,0.8,0.43501656948462225,1593.0,1448.0,277.0,62.0,300.0,787.1522512618932
CPS_1067,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1262.0,96.0,62.0,275.0,784.6720652603864
CPS_1068,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1262.0,96.0,62.0,275.0,784.6720652603864
FOODAPS_0165,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1262.0,96.0,62.0,275.0,784.6720652603864
FOODAPS_0326,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1262.0,96.0,62.0,275.0,784.6720652603864
FOODAPS_0330,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1262.0,96.0,62.0,275.0,784.6720652603864
FOODAPS_0446,F2,LOW,5,0.66,0.2595569150761394,0.7705714285714286,0.8,0.5337668435337182,1577.0,1262.0,96.0,62.0,275.0,784.6720652603864
CPS_0422,F1,LOW,6,0.99,0.07938016428569494,0.54925,0.5833333333333334,0.391082025641725,1519.0,1589.0,306.0,129.0,307.0,775.5313769710847
CPS_1052,F2,LOW,5,0.66,0.3648244369475912,0.7705714285714286,0.9,0.5854337050415394,1577.0,220.0,96.0,38.0,241.0,733.4391022209455
FOODAPS_0608,F2,LOW,5,0.66,0.3648244369475912,0.7705714285714286,0.9,0.5854337050415394,1577.0,220.0,96.0,38.0,241.0,733.4391022209455
CPS_0912,F3,MODERATE,5,0.67,0.013124193105948815,0.4848571428571429,0.4,0.27703758694489033,1525.0,1596.0,314.0,285.0,334.0,728.7116485048573
FOODAPS_0390,F3,MODERATE,5,0.67,0.013124193105948815,0.4848571428571429,0.4,0.27703758694489033,1525.0,1596.0,314.0,285.0,334.0,728.7116485048573
CPS_1036,F3,LOW,5,0.33,0.12784146563451643,0.4848571428571429,0.3,0.24926309754082687,1593.0,1553.0,314.0,317.0,337.0,726.2026232395474
FOODAPS_0404,F3,LOW,5,0.33,0.12784146563451643,0.4848571428571429,0.3,0.24926309754082687,1593.0,1553.0,314.0,317.0,337.0,726.2026232395474
FOODAPS_0485,F3,LOW,5,0.33,0.12784146563451643,0.4848571428571429,0.3,0.24926309754082687,1593.0,1553.0,314.0,317.0,337.0,726.2026232395474
CPS_0908,F3,LOW,5,0.33,0.17968964804881357,0.6277142857142858,0.4,0.3350165694846222,1593.0,1448.0,277.0,285.0,316.0,718.0772358644066
