OA,CC.1,CC.2,CC.3,CC.4,MC.2,MC.3,PC.1,PC.3,PM.2,RS.1,RS.2,RS.3,TC.1,TC.2,TC.3
CC.1,260,8,0,2,0,0,1,0,0,0,0,0,0,3,0
CC.2,31,64,1,3,0,0,0,0,1,1,1,0,5,13,0
CC.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CC.4,1,1,0,15,0,0,0,1,0,0,0,0,1,0,0
MC.2,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0
MC.3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
NHB.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PC.1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
PC.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PM.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
RS.1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0
TC.1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
TC.2,0,0,0,0,0,0,0,0,0,1,0,0,11,27,1
TC.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
