,CC.1,CC.2,CC.3,CC.4,MC.1,MC.2,MC.3,MC.4,NHB.0,PC.1,PC.3,PM.2,RS.1,RS.2,RS.3,RS.4,TC.1,TC.2,TC.3
CC.1,740,121,0,8,0,2,0,1,0,2,0,0,17,3,0,0,2,5,0
CC.2,85,93,1,23,0,4,0,0,0,0,0,0,41,0,1,0,4,2,0
CC.3,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC.4,17,8,1,88,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1
MC.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
MC.2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0
MC.3,0,0,1,1,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
MC.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NHB.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
PC.1,4,5,5,10,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0
PC.3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
PM.2,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
RS.1,3,2,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2,0
RS.2,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
RS.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
RS.4,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TC.1,12,5,0,2,0,0,2,0,0,0,0,0,6,1,0,0,35,4,0
TC.2,15,10,0,3,1,1,0,0,0,0,0,0,8,1,0,0,21,37,8
TC.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
