pair_id,survey,final_L1,final_barrier_code,final_feasibility,confidence,L1_agree_oa_an,feas_agree_oa_an,has_google,final_barrier_code_oa,final_feasibility_oa,L1_oa,final_barrier_code_an,final_feasibility_an,L1_an,final_barrier_code_go,final_feasibility_go,L1_go
CPS_0000,CPS,RS,RS.1,F1,LOW,False,False,True,CC.2,F3,CC,RS.1,F1,RS,RS.1,F1,RS
CPS_0001,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0002,CPS,PC,PC.3,F2,HIGH,True,True,True,PC.3,F2,PC,PC.3,F2,PC,PC.3,F2,PC
CPS_0003,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0004,CPS,PC,PC.3,F2,LOW,False,False,True,CC.4,F3,CC,PC.3,F2,PC,PC.3,F2,PC
CPS_0005,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0006,CPS,CC,CC.1,F3,MODERATE,False,True,True,PC.1,F3,PC,CC.1,F3,CC,CC.1,F3,CC
CPS_0007,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0008,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0009,CPS,TC,TC.1,F2,HIGH,True,True,True,TC.1,F2,TC,TC.1,F2,TC,TC.1,F2,TC
CPS_0010,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0011,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0013,CPS,TC,TC.2,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.2,F3,TC,TC.2,F3,TC
CPS_0014,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.1,F3,CC
CPS_0015,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0016,CPS,MC,MC.2,F1,MODERATE,True,False,True,MC.2,F1,MC,MC.3,F2,MC,MC.2,F1,MC
CPS_0017,CPS,CC,CC.2,F2,LOW,False,False,True,CC.2,F2,CC,MC.3,F1,MC,CC.2,F2,CC
CPS_0018,CPS,MC,MC.3,F2,MODERATE,True,False,True,MC.3,F2,MC,MC.2,F1,MC,CC.2,F2,CC
CPS_0019,CPS,MC,MC.3,F2,MODERATE,True,False,True,MC.3,F2,MC,MC.2,F1,MC,CC.2,F2,CC
CPS_0020,CPS,NHB,NHB.0,F1,HIGH,True,True,True,NHB.0,F1,NHB,NHB.0,F1,NHB,RS.3,F1,RS
CPS_0021,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0022,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0023,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0024,CPS,CC,CC.4,F2,HIGH,True,True,True,CC.4,F2,CC,CC.4,F2,CC,CC.4,F2,CC
CPS_0025,CPS,CC,CC.4,F2,HIGH,True,True,True,CC.4,F2,CC,CC.4,F2,CC,CC.4,F2,CC
CPS_0026,CPS,CC,CC.4,F2,HIGH,True,True,True,CC.4,F2,CC,CC.4,F2,CC,CC.4,F2,CC
CPS_0027,CPS,CC,CC.4,F2,HIGH,True,True,True,CC.4,F2,CC,CC.4,F2,CC,CC.4,F2,CC
CPS_0028,CPS,CC,CC.4,F2,HIGH,True,True,True,CC.4,F2,CC,CC.4,F2,CC,CC.4,F2,CC
CPS_0029,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0030,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0031,CPS,TC,TC.1,F2,LOW,False,False,True,CC.4,F3,CC,TC.1,F2,TC,TC.1,F2,TC
