pair_id,survey,survey_text,acs_text,final_barrier_code,final_feasibility,final_barrier_code_oa,final_feasibility_oa,final_barrier_code_an,final_feasibility_an,final_barrier_code_go,final_feasibility_go
CPS_0000,CPS,(What are the names of all persons living or staying here? / What is the name of the next person,How many people are living or staying at this address?,RS.1,F1,CC.2,F3,RS.1,F1,RS.1,F1
CPS_0004,CPS,I have listed . . . READ NAMES Have I missed any babies or small children?,How many people are living or staying at this address?,PC.3,F2,CC.4,F3,PC.3,F2,PC.3,F2
CPS_0017,CPS,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),How many hours do you usually work per week at this rate?,CC.2,F2,CC.2,F2,MC.3,F1,CC.2,F2
CPS_0031,CPS,How many hours per week (do/does) (you/he/she) USUALLY work at (your/his/her) other (job/ jobs)?,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC.1,F2,CC.4,F3,TC.1,F2,TC.1,F2
CPS_0047,CPS,"Now I have some questions about the exact number of hours (name/you) worked (THE WEEK BEFORE LAST/LAST WEEK). (THE WEEK BEFORE LAST/LAST WEEK), did (you/he/she) lose or take off any hours from ((his/her) MAIN job/work), for ANY reason such as illness, slack work, vacation, or holiday?","During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC.1,F2,CC.2,F3,TC.1,F2,TC.1,F2
CPS_0105,CPS,Is the job from which (name/you) (are / is) on layoff a full time job of 35 hours or more per week?,How many hours do you usually work per week at this rate?,CC.3,F1,CC.3,F1,PC.1,F2,CC.3,F1
CPS_0216,CPS,(Are / Is) (name/you) (now/still) in the Armed Forces?,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",TC.2,F2,CC.1,F3,TC.2,F2,TC.2,F2
CPS_0422,CPS,(Have / Has) (name/you) worked at a job or business at any time during the past 12 months?,"When did this person last work, even for a few days?",TC.2,F2,TC.2,F2,RS.1,F1,,
CPS_0438,CPS,"Last month, it was reported that (name/you) worked for (input.IO1NAM). (Do / Does) (you/he/she) still work for (input.IO1NAM)","LAST WEEK, did this person work for pay at a job (or business)?",CC.1,F3,CC.1,F3,TC.1,F2,,
CPS_0457,CPS,(Were/Was) (name/you) working for pay?,"When did this person last work, even for a few days?",CC.2,F3,CC.2,F3,TC.2,F2,,
CPS_0505,CPS,Is (name's/your) parent a member of this household?,What is Person 3’s name? How is this person related to Person 1?,PM.2,F1,PM.2,F1,CC.4,F2,,
CPS_0908,CPS,(Are / Is) (you/he/she) enrolled in school as a full time or part time student?,"At any time IN THE LAST 3 MONTHS, has this person attended school or college?",CC.2,F3,CC.2,F3,TC.1,F2,,
CPS_0987,CPS,"I have estimated (your/his/her) total WEEKLY earnings (as/ for (your/his/her) main job, as (entry in ERNX2) WEEKLY before taxes or other deductions. Does that sound correct?",What is your hourly rate of pay on [this/ your main] job?,CC.2,F2,CC.2,F2,RS.1,F3,,
CPS_1036,CPS,"(Including overtime pay, tips and commissions,), what are (your/his/her) usual (weekly/bi-weekly/monthly/annual) earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",What is your best estimate of your hourly rate of pay?,CC.1,F3,CC.1,F3,RS.1,F2,,
