pair_id,final_feasibility,confidence,n_all_votes,score_composite,score_entropy,score_bayesian,score_borda,score_ensemble,rank_composite,rank_entropy,rank_bayesian,rank_borda,rank_ensemble
CPS_0000,F1,LOW,6,0.99,0.5898815136934819,0.67425,0.8333333333333334,0.6245712843310051,1519.0,157.0,252.0,57.0,233.0
CPS_0001,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0002,F2,HIGH,6,2.0,0.67,0.79925,0.5,0.6977698961234307,69.0,32.0,1.0,139.0,62.0
CPS_0003,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0004,F2,LOW,6,0.66,0.3952206141746329,0.67425,0.4166666666666667,0.4401933307825074,1577.0,186.0,252.0,268.0,296.0
CPS_0005,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0006,F3,MODERATE,6,0.67,0.19466089951884902,0.17425000000000002,0.08333333333333333,0.14032293442417554,1525.0,1291.0,460.0,462.0,1574.0
CPS_0007,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0008,F2,HIGH,6,2.0,0.67,0.79925,0.5,0.6977698961234307,69.0,32.0,1.0,139.0,62.0
CPS_0009,F2,HIGH,6,2.0,0.67,0.79925,0.5,0.6977698961234307,69.0,32.0,1.0,139.0,62.0
CPS_0010,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0011,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0013,F3,MODERATE,6,0.67,0.13880454578572063,0.29925,0.16666666666666666,0.18867314137450028,1525.0,1543.0,362.0,363.0,369.0
CPS_0014,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0015,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0016,F1,MODERATE,6,2.0100000000000002,0.36907024642854247,0.79925,0.75,0.6849732915698742,58.0,217.0,1.0,77.0,176.0
CPS_0017,F2,LOW,6,0.66,0.28181528992858434,0.79925,0.6666666666666666,0.5156316297422576,1577.0,1251.0,1.0,95.0,282.0
CPS_0018,F2,MODERATE,6,1.34,0.28181528992858434,0.79925,0.6666666666666666,0.5793020417272764,248.0,1251.0,1.0,95.0,243.0
CPS_0019,F2,MODERATE,6,1.34,0.28181528992858434,0.79925,0.6666666666666666,0.5793020417272764,248.0,1251.0,1.0,95.0,243.0
CPS_0020,F1,HIGH,6,3.0,1.0,0.79925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPS_0021,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0022,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0023,F2,HIGH,6,2.0,0.67,0.79925,0.5,0.6977698961234307,69.0,32.0,1.0,139.0,62.0
CPS_0024,F2,HIGH,6,2.0,0.3952206141746329,0.79925,0.5833333333333334,0.6489948289098483,69.0,186.0,1.0,129.0,179.0
CPS_0025,F2,HIGH,6,2.0,0.3952206141746329,0.79925,0.5833333333333334,0.6489948289098483,69.0,186.0,1.0,129.0,179.0
CPS_0026,F2,HIGH,6,2.0,0.3952206141746329,0.79925,0.5833333333333334,0.6489948289098483,69.0,186.0,1.0,129.0,179.0
CPS_0027,F2,HIGH,6,2.0,0.3952206141746329,0.79925,0.5833333333333334,0.6489948289098483,69.0,186.0,1.0,129.0,179.0
CPS_0028,F2,HIGH,6,2.0,0.3952206141746329,0.79925,0.5833333333333334,0.6489948289098483,69.0,186.0,1.0,129.0,179.0
CPS_0029,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0030,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0031,F2,LOW,6,0.66,0.3952206141746329,0.67425,0.4166666666666667,0.4401933307825074,1577.0,186.0,252.0,268.0,296.0
CPS_0032,F1,HIGH,6,3.0,1.0,0.79925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPS_0033,F1,HIGH,6,3.0,1.0,0.79925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPS_0034,F1,HIGH,6,3.0,1.0,0.79925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPS_0035,F1,HIGH,6,3.0,1.0,0.79925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPS_0036,F1,HIGH,6,3.0,1.0,0.79925,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CPS_0037,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0038,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0039,F2,HIGH,6,2.0,0.67,0.79925,0.5,0.6977698961234307,69.0,32.0,1.0,139.0,62.0
CPS_0040,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0041,F3,MODERATE,6,0.67,0.19466089951884902,0.17425000000000002,0.08333333333333333,0.14032293442417554,1525.0,1291.0,460.0,462.0,1574.0
CPS_0042,F3,MODERATE,6,0.67,0.19466089951884902,0.17425000000000002,0.08333333333333333,0.14032293442417554,1525.0,1291.0,460.0,462.0,1574.0
CPS_0043,F3,MODERATE,6,0.67,0.19466089951884902,0.17425000000000002,0.08333333333333333,0.14032293442417554,1525.0,1291.0,460.0,462.0,1574.0
CPS_0044,F3,MODERATE,6,0.67,0.19466089951884902,0.17425000000000002,0.08333333333333333,0.14032293442417554,1525.0,1291.0,460.0,462.0,1574.0
CPS_0045,F3,MODERATE,6,0.67,0.19466089951884902,0.17425000000000002,0.08333333333333333,0.14032293442417554,1525.0,1291.0,460.0,462.0,1574.0
CPS_0046,F3,HIGH,6,1.0,0.19466089951884902,0.17425000000000002,0.08333333333333333,0.1712218108286699,297.0,1291.0,460.0,462.0,457.0
CPS_0047,F2,LOW,6,0.66,0.28181528992858434,0.54925,0.3333333333333333,0.34896496307559094,1577.0,1251.0,306.0,311.0,315.0
CPS_0048,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0049,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0050,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0051,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0052,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0053,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
CPS_0054,F3,HIGH,6,1.0,0.33,0.04925,0.0,0.14300654542640454,297.0,269.0,1153.0,617.0,1135.0
