pair_id,survey,survey_q_id,survey_text,acs_q_id,acs_text,final_L1,final_barrier_code,subtopic,confidence
CPS_0017,CPS,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_7,How many hours do you usually work per week at this rate?,CC,CC.2,"Hours/Week, Weeks/Year",LOW
CPS_0024,CPS,CPS_106,How many hours per week (do/does) (you/he/she) USUALLY work at (your/his/her) other (job/ jobs)?,ACS_6,How many hours do you usually work per week at this rate?,CC,CC.4,"Hours/Week, Weeks/Year",HIGH
CPS_0025,CPS,CPS_106,How many hours per week (do/does) (you/he/she) USUALLY work at (your/his/her) other (job/ jobs)?,ACS_7,How many hours do you usually work per week at this rate?,CC,CC.4,"Hours/Week, Weeks/Year",HIGH
CPS_0026,CPS,CPS_106,How many hours per week (do/does) (you/he/she) USUALLY work at (your/his/her) other (job/ jobs)?,ACS_10,How many hours do you usually work per week at this rate?,CC,CC.4,"Hours/Week, Weeks/Year",HIGH
CPS_0027,CPS,CPS_106,How many hours per week (do/does) (you/he/she) USUALLY work at (your/his/her) other (job/ jobs)?,ACS_11,How many hours do you usually work per week at this rate?,CC,CC.4,"Hours/Week, Weeks/Year",HIGH
CPS_0028,CPS,CPS_106,How many hours per week (do/does) (you/he/she) USUALLY work at (your/his/her) other (job/ jobs)?,ACS_12,What is your best estimate of the number of hours per week you usually work at this rate?,CC,CC.4,"Hours/Week, Weeks/Year",HIGH
CPS_0080,CPS,CPS_116,"(THE WEEK BEFORE LAST/LAST WEEK), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) other (job/ jobs?)?",ACS_6,How many hours do you usually work per week at this rate?,CC,CC.4,"Hours/Week, Weeks/Year",MODERATE
CPS_0095,CPS,CPS_118,(THE WEEK BEFORE LAST/LAST WEEK) (you/NAME) worked (# hours worked) hours ( /at all jobs). How many of these hours did (you/he/she) telework or work at home for pay?,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",CC,CC.4,"Hours/Week, Weeks/Year",MODERATE
CPS_0207,CPS,CPS_174,"(THE WEEK BEFORE LAST/LAST WEEK), could (you/he/she) have started a job IF one had been offered?",ACS_113,"LAST WEEK, could this person have started a job if offered one, or returned to work if recalled?",CC,CC.4,Unemployment,HIGH
CPS_0212,CPS,CPS_35,Did (name/you) ever serve on active duty in the U. S. Armed Forces? When did (you/he/she) serve?,ACS_98,"Has this person ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",CC,CC.4,Veterans,HIGH
CPS_0288,CPS,CPS_71,"(THE WEEK BEFORE LAST/LAST WEEK), (in addition to the business) (name/you) have a job either full or part time? Include any job from which (name/you) (was/were) temporarily absent.",ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",CC,CC.2,Employment Status,HIGH
CPS_0289,CPS,CPS_71,"(THE WEEK BEFORE LAST/LAST WEEK), (in addition to the business) (name/you) have a job either full or part time? Include any job from which (name/you) (was/were) temporarily absent.",ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",CC,CC.2,Employment Status,HIGH
CPS_0291,CPS,CPS_71,"(THE WEEK BEFORE LAST/LAST WEEK), (in addition to the business) (name/you) have a job either full or part time? Include any job from which (name/you) (was/were) temporarily absent.",ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",CC,CC.2,Employment Status,HIGH
CPS_0311,CPS,CPS_101,What was the main reason (you/he/she) (was/were) absent from work (THE WEEK BEFORE LAST/LAST WEEK)?,ACS_110,"LAST WEEK, was this person TEMPORARILY absent from a job or business?",CC,CC.2,Employment Status,HIGH
CPS_0350,CPS,CPS_122,Has (name's/your) employer given (you/he/she) a date to return to work?,ACS_109,"LAST WEEK, was this person on layoff from a job?",CC,CC.2,Employment Status,HIGH
CPS_0355,CPS,CPS_123,(Have / Has) (you/he/she) been given any indication that ( you/he/she) will be recalled to work within the next 6 months?,ACS_109,"LAST WEEK, was this person on layoff from a job?",CC,CC.1,Employment Status,HIGH
CPS_0360,CPS,CPS_124,Could (you/he/she) have returned to work (THE WEEK BEFORE LAST/LAST WEEK) IF (you/he/she) had been recalled? Why is that?,ACS_109,"LAST WEEK, was this person on layoff from a job?",CC,CC.1,Employment Status,HIGH
CPS_0365,CPS,CPS_126,"As of the end of (THE WEEK BEFORE LAST/LAST WEEK), how long had/has (you/he/she) been on layoff?",ACS_109,"LAST WEEK, was this person on layoff from a job?",CC,CC.2,Employment Status,MODERATE
CPS_0372,CPS,CPS_127,"We would like to have that in weeks, IF possible, exactly how many weeks had (name/you) been on layoff?",ACS_114,"When did this person last work, even for a few days?",CC,CC.2,Employment Status,HIGH
CPS_0392,CPS,CPS_148,When did (you/he/she) last work at (a/that) job or business?,ACS_114,"When did this person last work, even for a few days?",CC,CC.4,Employment Status,HIGH
CPS_0438,CPS,CPS_182,"Last month, it was reported that (name/you) worked for (input.IO1NAM). (Do / Does) (you/he/she) still work for (input.IO1NAM)",ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",CC,CC.1,Employment Status,LOW
CPS_0439,CPS,CPS_182,"Last month, it was reported that (name/you) worked for (input.IO1NAM). (Do / Does) (you/he/she) still work for (input.IO1NAM)",ACS_103,"LAST WEEK, did this person do ANY work for pay, even for as little as one hour?",CC,CC.1,Employment Status,HIGH
CPS_0482,CPS,CPS_288,(Are / Is) (name/you) retired FROM A JOB OR BUSINESS?,ACS_114,"When did this person last work, even for a few days?",CC,CC.2,Employment Status,HIGH
CPS_0483,CPS,CPS_289,"What best describes (name's/your) situation at this time? For example, (are / is) (you/he/she) disabled, ill, in school, taking care of house or family, or something ELSE?",ACS_102,"LAST WEEK, did this person work for pay at a job (or business)?",CC,CC.2,Employment Status,HIGH
CPS_0485,CPS,CPS_289,"What best describes (name's/your) situation at this time? For example, (are / is) (you/he/she) disabled, ill, in school, taking care of house or family, or something ELSE?",ACS_109,"LAST WEEK, was this person on layoff from a job?",CC,CC.2,Employment Status,HIGH
