,CC.1,CC.2,CC.3,CC.4,MC.1,MC.2,MC.3,MC.4,PC.1,PC.3,RS.1,RS.2,RS.3,TC.1,TC.2,UNKNOWN
CC.1,677,216,14,53,6,8,0,3,2,0,17,8,1,9,16,2
CC.2,62,13,0,15,0,4,5,2,0,0,2,2,1,2,3,1
CC.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC.4,12,2,3,45,0,3,0,0,0,2,7,0,0,0,0,1
MC.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC.1,30,0,0,1,0,0,0,0,3,3,0,0,0,0,0,4
PC.3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
RS.1,2,5,0,8,0,1,1,0,0,0,50,10,0,2,0,0
RS.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RS.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC.1,33,27,0,1,0,0,0,0,0,0,2,0,0,61,46,0
TC.2,27,19,2,0,0,0,4,0,0,0,1,0,0,19,13,0
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
