id,question,original_gpt5mini,original_haiku45,original_gpt_confidence,original_claude_confidence,min_confidence,confidence_tier,decision,primary_topic,primary_subtopic,primary_confidence,secondary_primary_topic,secondary_primary_subtopic,secondary_primary_confidence,all_relevant_subtopics,reasoning,is_dual_modal,status
33,"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? You feel safe in your school.",Social.Schools,Social.Crime,0.9,0.9,0.9,high,auto_dual_modal,Social,Schools,0.9,Social,Crime,0.9,"[""Social.Schools"", ""Social.Crime""]",Both models highly confident (min=0.90) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
39,"Now I have some questions about what students do during school that make you feel bad or are hurtful to you. These could occur in person or using technologies, such as a phone, the Internet, or social media. We often refer to this as being bullied. During this school year, has any student bullied you? That is, has another student... Made fun of you, called you names, or insulted you, in a hurtful way? Spread rumors about you or tried to make others dislike you? Purposely shared your private information, photos, or videos in a hurtful way? Threatened you with harm? Pushed you, shoved you, tripped you, or spit on you? Tried to make you do things you did want to do, for example, give them money or other things? Excluded you from activities, social media, or other communications to hurt you? Destroyed your property on purpose? ",Social.Schools,Social.Crime,0.9,0.9,0.9,high,auto_dual_modal,Social,Schools,0.9,Social,Crime,0.9,"[""Social.Schools"", ""Social.Crime""]",Both models highly confident (min=0.90) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
8,What grade are you in?,Social.School Enrollment,Demographic.Age,0.93,0.97,0.93,high,auto_dual_modal,Demographic,Age,0.97,Social,School Enrollment,0.93,"[""Demographic.Age"", ""Social.School Enrollment""]",Both models highly confident (min=0.93) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
51,What was your relationship to the student when they bullied you? Were they… Your brother or sister? Your boyfriend or girlfreind at the time? Your ex-boyfriend or ex-girlfreind at the time? Another student from school?,Demographic.Relationship,Social.Crime,0.9,0.9,0.9,high,auto_dual_modal,Demographic,Relationship,0.9,Social,Crime,0.9,"[""Demographic.Relationship"", ""Social.Crime""]",Both models highly confident (min=0.90) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
52,"Still thinking about the [time/times] that you were bullied, where did the bullying occur? Did it occur… Read answer categories, mark all that apply  1 = In a classroom at school?  2 = In a hallway or stairwell at school?  3 = In a bathroom or locker room at school?  4 = In a gymnasium or weight room at school?  5 = In a cafeteria or lunchroom at school?  6 = Outside on school grounds?  7 = On the way to or from school such as on a school bus or at a bus stop?  8 = Online or by text?  9 = Somewhere else? – Specify",Social.Schools,Social.Crime,0.9,0.93,0.9,high,auto_dual_modal,Social,Crime,0.93,Social,Schools,0.9,"[""Social.Crime"", ""Social.Schools""]",Both models highly confident (min=0.90) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
53,Where is the other place where bullying occurred?,Social.Schools,Social.Crime,0.9,0.91,0.9,high,auto_dual_modal,Social,Crime,0.91,Social,Schools,0.9,"[""Social.Crime"", ""Social.Schools""]",Both models highly confident (min=0.90) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
24,"Does your school have: Security guards or assigned police officers? Other adults supervisiing the hallway, such as teachers, administrators, or volunteers? Metal detectors, including wands? Locked entrance or exit doors during the day? A requirement that visitors sign in AND wear visitor badges or stickers? Locker checks? A requirement that students wear badges or picture identification? One or more security cameras to monitor the school?",Social.Schools,Social.Crime,0.9,0.9,0.9,high,auto_dual_modal,Social,Schools,0.9,Social,Crime,0.9,"[""Social.Schools"", ""Social.Crime""]",Both models highly confident (min=0.90) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
116,"35. Did you contact any law enforcement agencies, such as the local police, a sheriff’s office or a federal law enforcement agency, to report misuse of your personal information?",Government.Police,Social.Crime,0.95,0.93,0.93,high,auto_dual_modal,Government,Police,0.95,Social,Crime,0.93,"[""Government.Police"", ""Social.Crime""]",Both models highly confident (min=0.93) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
117,36. Did the law enforcement agency take a police report from you about the misuse of your personal information?,Government.Police,Social.Crime,0.95,0.93,0.93,high,auto_dual_modal,Government,Police,0.95,Social,Crime,0.93,"[""Government.Police"", ""Social.Crime""]",Both models highly confident (min=0.93) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
118,37. Did you receive a copy of that police report? 37a. Did you send a copy of that police report to the credit bureau that you contacted?,Government.Police,Social.Crime,0.95,0.9,0.9,high,auto_dual_modal,Government,Police,0.95,Social,Crime,0.9,"[""Government.Police"", ""Social.Crime""]",Both models highly confident (min=0.90) but chose different topics. Auto-marked as dual-modal.,True,auto_dual_modal
