primary_survey,Demographic.Age,Demographic.Ancestry,Demographic.Ethnicity,Demographic.Foreign Born,Demographic.Hispanic Origin,Demographic.Household,Demographic.International,Demographic.Marital Status,Demographic.Population,Demographic.Race,Demographic.Relationship,Demographic.Sex,Economic.Business,Economic.Business Opening/Closing,Economic.Class of Worker,Economic.Commissions,Economic.Commute/Commuting,Economic.E-Commerce,Economic.Earnings,Economic.Emergency,Economic.Employer,Economic.Employment Status,Economic.Energy,Economic.Expenditures,Economic.Expenses,Economic.Firm Age,Economic.Firm Size,Economic.Firms,Economic.Food Services,Economic.Food Stamps (SNAP),Economic.Grants,Economic.Health Insurance,"Economic.Hours/Week, Weeks/Year",Economic.Income,Economic.Industry,Economic.International,Economic.Inventory,Economic.Labor Force,Economic.NAICS,Economic.Nurses,Economic.Occupation,Economic.Payroll,Economic.Pension,Economic.Permits,Economic.Purchases,Economic.Receipts,Economic.Recreation,Economic.Research and Development,Economic.Retail,Economic.Retirement Plans,Economic.Revenue,Economic.Sales,Economic.Self-employed,Economic.Spending,Economic.Teacher,Economic.Technology,Economic.Tenure,Economic.Transportation,Economic.Unemployment,Economic.Vehicle,Economic.Wholesale,Government.Federal Government,Government.Geography,Government.Hunting,Government.Jurisdiction,Government.Local Government,Government.Pension,Government.Police,Government.Public Employment,Government.School Districts,Government.State Government,Government.Tax,Housing.Construction,"Housing.Costs (Mortgage, Taxes, Insurance)",Housing.Expenditures,Housing.Expenses,Housing.Heating Fuel,Housing.Home Value,Housing.Homeowner,Housing.Homeownership,Housing.Housing,Housing.Housing Costs,Housing.Moving,Housing.Occupancy,Housing.Permits,Housing.Plumbing/Kitchen Facilities,Housing.Rental,Housing.Residential,Housing.Structure,Housing.Tenure (Own/Rent),Housing.Utilities,Housing.Vacancy/Vacancies,Housing.Vehicles,Housing.Year Built,Housing.Year Moved In,Social.COVID-19 Data,Social.Child Care,Social.Child Support,Social.Children,Social.Citizenship,Social.Computer & Internet Use,Social.Crime,Social.Disability,Social.Education,Social.Expenditures,Social.Expenses,Social.Fertility,Social.Field of Degree,Social.Food Stamps (SNAP),Social.Grandparents,Social.Household,Social.International,Social.Language,Social.Medical Care,Social.Migration,Social.Mortality,Social.Moving,Social.Nurses,Social.Occupation,Social.Police,Social.Post-Secondary Education,Social.Prisoners,Social.Recreation,Social.School Enrollment,Social.Schools,Social.Teacher,Social.Vehicles,Social.Veterans,Social.Voting,Unknown.Unknown
American Community Survey (ACS),3.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0
American Housing Survey (AHS),6.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,1.0,8.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,39.0,27.0,12.0,35.0,5.0,6.0,7.0,42.0,22.0,1.0,34.0,0.0,50.0,17.0,1.0,121.0,6.0,59.0,15.0,0.0,5.0,6.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,6.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
American Time Use Survey (ATUS),3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Business Enterprise Research and Development Survey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Business and Professional Classifcation Report,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Census Military Panel (CMP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
Consumer Expenditure Survey (CE),3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,18.0,0.0,1.0,0.0,1.0,7.0,6.0,0.0,2.0,1.0,0.0,509.0,29.0,0.0,0.0,0.0,7.0,3.0,0.0,94.0,4.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,23.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,51.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,61.0,23.0,2.0,4.0,4.0,0.0,10.0,3.0,5.0,0.0,8.0,0.0,2.0,19.0,3.0,12.0,5.0,11.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Current Population Survey (CPS),3.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,3.0,10.0,1.0,6.0,0.0,1.0,2.0,1.0,0.0,23.0,0.0,6.0,36.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,1.0,9.0,0.0,9.0,1.0,0.0,0.0,0.0,9.0,22.0,0.0,2.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,0.0,5.0,0.0,0.0
