,CC.1,CC.2,CC.3,CC.4,MC.1,MC.2,MC.3,MC.4,NHB.0,PC.1,PC.3,RS.1,RS.2,RS.3,TC.1,TC.2,TC.3
CC.1,705,112,0,14,0,3,0,0,0,0,0,18,1,0,1,6,0
CC.2,118,91,0,19,0,4,0,0,0,2,0,22,11,0,0,6,0
CC.3,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CC.4,17,10,0,75,0,0,0,0,0,0,0,9,2,0,0,0,0
MC.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC.2,1,0,2,10,0,0,0,0,0,0,0,3,1,2,4,0,0
MC.3,0,0,0,2,1,4,0,0,0,0,0,1,0,0,0,0,0
MC.4,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
NHB.0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,4,0
PC.1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
PC.3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
RS.1,6,8,0,3,0,0,0,0,0,0,0,61,4,0,0,0,0
RS.2,5,1,0,3,0,0,0,0,0,0,0,2,3,0,0,1,0
RS.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
TC.1,17,7,1,4,0,0,2,0,0,0,0,9,1,0,48,6,3
TC.2,3,18,0,5,0,0,6,0,0,0,0,4,1,0,9,32,9
TC.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
